01,CT,N,N,Ineligible,CTR10I000
01,MA,Y,Y,MAR100000,MAR10I000
01,ME,N,N,Ineligible,01R10I000
01,NH,Y,Y,NHR100000,01R10I000
01,RI,N,N,Ineligible,RIR10I000
01,VT,N,Y,VTR10F000,01R10I000
02,AT,N,N,Ineligible,02R10I000
02,NJ,N,N,Ineligible,02R10I000
02,NY,N,N,Ineligible,NYR10I000
02,PR,Y,Y,PRR100000,02R10I000
02,VI,N,N,Ineligible,02R10I000
03,DC,Y,Y,DCR100000,03R10I000
03,DE,N,Y,DER10F000,03R10I000
03,MD,N,N,Ineligible,03R10I000
03,PA,N,N,Ineligible,03R10I000
03,VA,N,N,Ineligible,VAR10I000
03,WV,N,N,Ineligible,03R10I000
04,AL,N,N,Ineligible,ALR10I000
04,FL,N,N,Ineligible,FLR10I00E
04,GA,N,N,Ineligible,04R10I000
04,GE,N,N,Ineligible,04R10I000
04,KY,N,N,Ineligible,04R10I000
04,MS,N,N,Ineligible,MSR10I000
04,NC,N,N,Ineligible,NCR10I000
04,SC,N,N,Ineligible,04R10I000
04,TN,N,N,Ineligible,04R10I000
05,IL,N,N,Ineligible,05R10I000
05,IN,N,N,Ineligible,05R10I000
05,MI,N,N,Ineligible,MIR10I000
05,MN,N,N,Ineligible,MNR10I000
05,OH,N,N,Ineligible,05R10I000
05,WI,N,N,Ineligible,WIR10I000
06,AR,N,N,Ineligible,06R10I000
06,GM,N,N,Ineligible,06R10I000
06,LA,N,N,Ineligible,LAR10I000
06,NM,Y,Y,NMR100000,NMR10I000
06,OK,Y,N,OKR10F000,OKR10I000
06,TX,Y,N,TXR10F000,TXR10I000
07,IA,N,N,Ineligible,IAR10I000
07,KS,N,N,Ineligible,KSR10I000
07,MO,N,N,Ineligible,07R10I000
07,NE,N,N,Ineligible,NER10I000
08,CO,N,Y,COR10F000,COR10I000
08,MT,N,N,Ineligible,MTR10I000
08,ND,N,N,Ineligible,NDR10I000
08,SD,N,N,Ineligible,SDR10I000
08,UT,N,N,Ineligible,UTR10I000
08,WY,N,N,Ineligible,WYR10I000
09,AS,Y,N,ASR100000,09R10I000
09,AZ,N,N,Ineligible,AZR10I000
09,CA,N,N,Ineligible,CAR10I000
09,FM,N,N,Ineligible,09R10I000
09,GU,Y,N,GUR100000,09R10I000
09,HI,N,N,Ineligible,09R10I000
09,JA,Y,Y,JAR100000,09R10I000
09,MH,N,N,Ineligible,09R10I000
09,MP,Y,Y,MPR100000,09R10I000
09,MW,Y,Y,MWR100000,09R10I000
09,NV,N,N,Ineligible,NVR10I000
09,PW,N,N,Ineligible,09R10I000
10,AK,Y,N,AKR10F000,AKR10I000
10,ID,Y,Y,IDR100000,IDR10I000
10,OR,N,N,Ineligible,ORR10I000
10,WA,N,Y,WAR10F000,WAR10I000
